ID,Protein_type,Protein_class_type,kP,MW,PI_mean,PI_range,Protein_conc,Temperature,Buffer_type,Buffer_pH,Buffer_conc,Salt_type,Salt_conc,Stabilizer_type,Stabilizer_conc,Surfactant_type,Surfactant_conc,Excipient_type,Excipient_conc,C_Class,HCI,Viscosity_100,Viscosity_1000,Viscosity_10000,Viscosity_100000,Viscosity_15000000,Pred_Viscosity_100,Pred_Viscosity_1000,Pred_Viscosity_10000,Pred_Viscosity_100000,Pred_Viscosity_15000000
511,poly-hIgG,Polyclonal,3.0,150.0,7.6,1.0,83.0,25.001,Histidine,6.0,15.0,,0.0,Sucrose,0.25,,0.0,,0.0,0.9,0.9,4.15,4.241726808503929,4.224562944902968,3.8919067922752015,1.72,4.566302,4.4326577,4.381745,4.3788824,2.4575357
510,poly-hIgG,Polyclonal,3.0,150.0,7.6,1.0,242.0,25.655,Histidine,6.0,15.0,,0.0,Sucrose,0.25,,0.0,,0.0,0.9,0.9,29.38,30.34088903295536,31.301778065910717,28.06995509686825,6.111796504318651,23.245127,21.952486,20.920004,20.179878,5.811531
506,poly-hIgG,Polyclonal,3.0,150.0,7.6,1.0,187.0,25.216363636363635,Histidine,6.0,15.0,,0.0,,0.0,,0.0,,0.0,0.9,0.9,12.52,10.321785009980417,10.723818589982448,11.125852169984476,2.7313683010081693,8.9521265,8.320776,7.8566895,7.4825864,3.6714532
508,poly-hIgG,Polyclonal,3.0,150.0,7.6,1.0,51.0,25.475,Histidine,6.0,15.0,,0.0,,0.0,,0.0,,0.0,0.9,0.9,1.72,1.72,1.4183669622711517,1.4410542584139543,1.14,1.7778527,1.7330773,1.6931094,1.645783,1.3882229
515,poly-hIgG,Polyclonal,3.0,150.0,7.6,1.0,159.0,25.251,Histidine,6.0,15.0,,0.0,,0.0,tween-80,0.05,,0.0,0.9,0.9,6.71,5.691395576632083,5.425949696535762,5.426417598201115,3.00470612918506,5.8264184,5.456007,5.2510996,5.098004,3.0376441
517,poly-hIgG,Polyclonal,3.0,150.0,7.6,1.0,296.0,25.568571428571428,Histidine,6.0,15.0,,0.0,,0.0,tween-80,0.05,,0.0,0.9,0.9,88.57646767469906,78.772050896506,72.44930075569195,65.02211788951377,18.94786898775565,48.233143,41.93662,36.686794,32.547497,13.862305
514,poly-hIgG,Polyclonal,3.0,150.0,7.6,1.0,55.0,25.722727272727276,Histidine,6.0,15.0,,0.0,Sucrose,0.5,,0.0,,0.0,0.9,0.9,5.25,5.132474531519482,5.29679914324673,5.461123754973978,2.16,5.386143,5.357687,5.4083476,5.542105,2.9205244
518,poly-hIgG,Polyclonal,3.0,150.0,7.6,1.0,63.0,25.244,Histidine,6.0,15.0,,0.0,,0.0,tween-80,0.05,,0.0,0.9,0.9,1.82,1.82,1.5960672785417862,1.604774931875364,1.6105121914967662,1.9686198,1.939799,1.9331639,1.918447,1.684926
509,poly-hIgG,Polyclonal,3.0,150.0,7.6,1.0,172.0,24.80181818181818,Histidine,6.0,15.0,,0.0,Sucrose,0.25,,0.0,,0.0,0.9,0.9,14.6,11.911294294387185,12.311684208098823,12.666615154277906,3.2894519705939445,12.224552,11.092167,10.5357485,10.733037,3.6716597
512,poly-hIgG,Polyclonal,3.0,150.0,7.6,1.0,169.0,25.24636363636364,Histidine,6.0,15.0,,0.0,Sucrose,0.5,,0.0,,0.0,0.9,0.9,14.13,14.773708753852125,15.417417507704249,16.061126261556375,4.075273287044114,13.993634,12.769026,11.99282,11.952369,5.199256
505,poly-hIgG,Polyclonal,3.0,150.0,7.6,1.0,122.0,25.380000000000003,Histidine,6.0,15.0,,0.0,,0.0,,0.0,,0.0,0.9,0.9,3.1,3.090004176425829,3.1703124375952543,3.250620698764679,1.79,3.3902912,3.0539556,2.828887,2.6543794,2.1330442
516,poly-hIgG,Polyclonal,3.0,150.0,7.6,1.0,213.0,25.50111111111111,Histidine,6.0,15.0,,0.0,,0.0,tween-80,0.05,,0.0,0.9,0.9,20.23,20.728437778133426,16.56236264609049,16.339430136328815,4.712363191521079,14.533898,13.356022,12.41306,11.232223,5.643069
507,poly-hIgG,Polyclonal,3.0,150.0,7.6,1.0,246.0,25.0775,Histidine,6.0,15.0,,0.0,,0.0,,0.0,,0.0,0.9,0.9,61.0,63.08708953794008,65.17417907588015,58.68797105586572,10.463958633272128,40.175827,36.0756,33.012527,31.09203,9.320679
513,poly-hIgG,Polyclonal,3.0,150.0,7.6,1.0,207.0,24.963,Histidine,6.0,15.0,,0.0,Sucrose,0.5,,0.0,,0.0,0.9,0.9,32.91703110346997,33.17984165373529,31.087439816165663,29.22844459852041,6.9844521999087785,19.953684,18.964289,18.078135,17.081966,5.7053246
630,Adalimumab,mAb_IgG1,3.0,148.0,8.7,0.3,206.0,25.352,Histidine,6.0,15.0,NaCl,70.0,Sucrose,0.2,tween-80,0.05,,0.0,1.0,1.0,36.409639311346425,38.00580243930652,39.60196556726662,40.86606349338408,6.360255266991149,36.05965,34.38191,34.795742,35.907215,8.838187
631,Adalimumab,mAb_IgG1,3.0,148.0,8.7,0.3,206.0,25.32333333333333,Histidine,6.0,15.0,NaCl,70.0,Sucrose,0.2,tween-80,0.05,,0.0,1.0,1.0,52.19857144459378,52.12424942979692,53.14314424266189,47.45329065859241,8.137937880920497,36.07634,34.405247,34.809162,35.915714,8.856726
