feature,delta_mse_mean,delta_mse_std
num__log_conc,0.037276961939272275,0.0068205797961676164
num__Protein_conc,0.01954220271195308,0.0022480897407414096
num__conc_x_kP,0.013748712568554936,0.0013919239680806046
num__conc_x_HCI,0.012946734989172726,0.001381512411198572
num__Phi_Protein,0.009280871124682812,0.0007505747104995055
num__Total_Solute_Mass,0.007131836632940121,0.0007453954880763363
num__conc_sq,0.004957668561414064,0.0013965279954611437
num__Phi_Total,0.004552060436504978,0.0004806862381740536
num__Buffer_conc,0.0032938638854905916,0.0016955339702243006
num__Exp_Crowding,0.003148323707255663,0.0009079583942804508
num__Temperature,0.00298308261562081,0.00044009702778792986
cat__Stabilizer_type_trehalose,0.002786491804162671,0.0006634458334924415
num__KD_Asymptote,0.002571671254660306,0.000810353362484775
num__Buffer_pH,0.0017901717328009745,0.0004217776405715136
cat__Buffer_type_acetate,0.0015328324946096924,0.0003534995029564717
cat__Stabilizer_type_sucrose,0.001483144687773314,0.00020099356717010093
num__Effective_Protein_Fraction,0.0012477932906806697,0.00018750065216704975
cat__Protein_type_none,0.001161907889735721,0.00023608672046976622
cat__Salt_type_nacl,0.000971123755533922,0.00014289241486338278
cat__Buffer_type_pbs,0.0007652206131723391,0.0002881986530245567
num__Stabilizer_Squared,0.000649247255963166,0.0001732324392117701
num__trehalose_low,0.000615343492845454,0.0002482655666713248
num__Salt_conc,0.0006085808554165204,0.00014678129891999958
num__nacl_low,0.000550188059351893,0.00010733491689246695
num__trehalose_high,0.0005193524164768372,0.00019938852686051563
cat__Surfactant_type_tween-80,0.00047109376370414486,0.00011574844036277071
cat__Buffer_type_histidine,0.0004528679872996983,0.00010930001189202804
cat__Excipient_type_lysine,0.00044233598489042917,9.220525169159415e-05
num__Crowding_Index,0.0004084136358409113,0.00022117001610358073
cat__Stabilizer_type_none,0.0004068629097918125,9.308827462047624e-05
cat__Excipient_type_arginine,0.0004037179326173041,0.00010069141408690143
num__Phi_Stabilizer,0.00028250734796343425,5.864314188927735e-05
cat__Surfactant_type_tween-20,0.0002717249210307515,0.00014649384326447722
num__kP,0.00025679747144986777,7.275125912894331e-05
cat__Protein_type_ibalizumab,0.0002406032387536997,7.410304309050629e-05
cat__Protein_class_type_bispecific,0.00023937133076914249,0.00011993345739913371
cat__Excipient_type_proline,0.00022872800667300626,9.656635877120455e-05
num__MW,0.0002259498042498995,5.512772739068501e-05
num__tween-80_low,0.0002209813762898515,0.00010452673360097139
cat__Protein_type_poly-higg,0.00021870722980378167,4.700719659625554e-05
num__nacl_high,0.00020623637855347746,0.0001013143070738921
num__arginine_high,0.00020578598619900554,6.234364529063059e-05
num__HCI,0.00018367421450397309,3.7022146780169716e-05
cat__Protein_type_vudalimab,0.0001835144722625027,0.00010365523207687932
num__tween-20_high,0.00018315348157110675,0.00016464141280253197
num__Stabilizer_conc,0.00018312592489033467,8.095000971651403e-05
num__arginine_low,0.00017660031337387452,9.41096958159897e-05
num__C_Class,0.00017590900359596914,5.9914263570144343e-05
cat__Protein_class_type_mab_igg4,0.00017345493000007068,5.1097638682666896e-05
cat__Protein_type_bevacizumab,0.00017246351258682103,7.533360960148482e-05
cat__Protein_type_etanercept,0.00016956248435069966,3.0393678599883133e-05
cat__Protein_type_bsa,0.00016616744810429078,8.475974643917292e-05
num__Surfactant_conc,0.00015666258604490717,7.198952758577687e-05
num__tween-20_low,0.000155828135307662,0.0001222595480494548
num__lysine_low,0.0001523622733290795,8.56573964392766e-05
num__Excipient_conc,0.00014835302150355314,0.00010722737973731698
cat__Protein_class_type_other,0.0001430741651508062,5.8032156918633634e-05
cat__Protein_class_type_mab_igg1,0.00011845268715229779,5.6013802743970547e-05
cat__Protein_type_trastuzumab,0.00011430597901908729,7.040933384460719e-05
cat__Protein_class_type_fc-fusion,0.00011163451303930674,1.56955370977988e-05
num__PI_mean,0.00010758543437164748,4.8707662106230045e-05
num__lysine_high,0.00010431750422716718,2.504308144128937e-05
cat__Protein_class_type_polyclonal,0.00010186630484769329,3.63290541235122e-05
num__tween-80_high,9.98799371478151e-05,3.15070689748921e-05
num__proline_low,9.955373359521379e-05,0.00013192267719926916
cat__Protein_type_adalimumab,8.11197981477405e-05,2.927673172080271e-05
cat__Excipient_type_none,7.483035677562844e-05,2.873032522699818e-05
cat__Salt_type_none,7.188123029892553e-05,4.554258324447586e-05
num__PI_range,6.438621171113582e-05,3.040389632031879e-05
cat__Protein_type_nivolumab,6.110107878493113e-05,3.3455344092131474e-05
cat__Protein_type_belatacept,4.583185674981458e-05,4.059543403460382e-05
cat__Protein_type_pembrolizumab,3.642808922000637e-05,3.867116706171388e-05
cat__Protein_type_bgg,3.30702482700034e-05,2.837012292560153e-05
num__proline_high,2.1855391534084373e-05,2.01264720824166e-05
num__prior_proline,0.0,0.0
num__prior_arginine,0.0,0.0
num__prior_lysine,0.0,0.0
num__prior_tween-80,0.0,0.0
num__prior_tween-20,0.0,0.0
num__prior_stabilizer,0.0,0.0
num__prior_nacl,0.0,0.0
num__stabilizer_high,0.0,0.0
num__stabilizer_low,0.0,0.0
cat__Protein_class_type_none,0.0,0.0
cat__Surfactant_type_none,-1.2882815091426123e-05,1.5023437900168688e-05
