ID,Protein_type,Protein_class_type,kP,MW,PI_mean,PI_range,Protein_conc,Temperature,Buffer_type,Buffer_pH,Buffer_conc,Salt_type,Salt_conc,Stabilizer_type,Stabilizer_conc,Surfactant_type,Surfactant_conc,Excipient_type,Excipient_conc,C_Class,HCI,Viscosity_100,Viscosity_1000,Viscosity_10000,Viscosity_100000,Viscosity_15000000,cnp_rank
263,Ibalizumab,mAb_IgG4,3.5,150.0,8.0,0.3,270.0,27.5,Acetate,5.0,20.0,none,0.0,none,0.0,tween-80,0.1,none,0.0,1.3,1.1,15.07,11.94,10.11,6.46,4.5,1
264,Ibalizumab,mAb_IgG4,3.5,150.0,8.0,0.3,245.0,27.5,PBS,7.4,10.0,NaCl,140.0,Trehalose,0.155,none,0.0,none,0.0,1.3,1.1,11.94,8.73,7.56,5.68,5.41,2
266,Ibalizumab,mAb_IgG4,3.5,150.0,8.0,0.3,150.0,27.5,PBS,7.4,10.0,NaCl,140.0,Sucrose,0.75,none,0.0,none,0.0,1.3,1.1,8.27,7.35,7.35,5.87,5.0,3
265,Ibalizumab,mAb_IgG4,3.5,150.0,8.0,0.3,230.0,27.5,Histidine,6.0,15.0,none,0.0,Sucrose,0.5,none,0.0,none,0.0,1.3,1.1,6.15,5.97,5.97,5.28,4.1,4
268,Ibalizumab,mAb_IgG4,3.5,150.0,8.0,0.3,150.0,27.5,Histidine,6.0,15.0,none,0.0,Trehalose,0.25,none,0.0,none,0.0,1.3,1.1,3.67,3.67,3.67,3.28,2.7,5
261,Ibalizumab,mAb_IgG4,3.5,150.0,8.0,0.3,290.0,27.5,PBS,7.4,10.0,NaCl,140.0,none,0.0,none,0.0,none,0.0,1.3,1.1,15.16,15.16,15.16,10.9,5.95,6
260,Ibalizumab,mAb_IgG4,3.5,150.0,8.0,0.3,300.0,27.5,Acetate,5.0,20.0,none,0.0,none,0.0,none,0.0,none,0.0,1.3,1.1,24.07,24.07,20.67,12.5,7.9,7
262,Ibalizumab,mAb_IgG4,3.5,150.0,8.0,0.3,187.5,27.5,Histidine,6.0,15.0,none,0.0,Sucrose,0.75,none,0.0,none,0.0,1.3,1.1,4.22,4.22,3.67,2.44,1.4,8
279,Ibalizumab,mAb_IgG4,3.5,150.0,8.0,0.3,100.0,27.5,Histidine,6.0,15.0,none,0.0,Trehalose,0.25,tween-80,0.05,none,0.0,1.3,1.1,2.94,2.94,2.94,2.6,2.48,9
259,Ibalizumab,mAb_IgG4,3.5,150.0,8.0,0.3,304.0,27.5,Histidine,6.0,15.0,none,0.0,none,0.0,none,0.0,none,0.0,1.3,1.1,14.15,14.15,13.32,8.39,4.5,10
