Feature,Importance_dMSE
num__conc_x_HCI,0.00909731967047666
num__Protein_conc,0.008263831574857033
num__Phi_Protein,0.008120831650091923
num__conc_sq,0.006947023232114657
num__log_conc,0.006236080788669516
num__conc_x_kP,0.004448435549997277
num__Exp_Crowding,0.003400373473900398
num__Temperature,0.0026788864434379566
num__Phi_Total,0.002587374216683685
num__KD_Asymptote,0.002097854435489743
num__Total_Solute_Mass,0.0019341173387354893
cat__Protein_type_none,0.0017770066737452777
cat__Protein_class_type_unknown,0.0015131198298298431
num__Crowding_Index,0.0013587373263660128
cat__Buffer_type_acetate,0.0009040397668579059
num__Buffer_conc,0.0007218486861994104
num__Excipient_conc,0.0007048501210116286
num__trehalose_high,0.0006891429927074321
num__Stabilizer_Squared,0.0006818801983941819
num__arginine_low,0.0006455459195522668
num__prior_nacl,0.0005053175424029606
num__Buffer_pH,0.0004964459599403966
num__prior_tween-20,0.0004908854544101843
num__prior_arginine,0.0004828757797193375
cat__Excipient_type_lysine,0.00045093534701296607
cat__Protein_type_poly-higg,0.0004178563848755172
num__prior_lysine,0.00040666979843794046
num__Surfactant_conc,0.00038809213780024955
cat__Protein_type_ibalizumab,0.00036801673163280695
num__prior_proline,0.0003523789690150418
num__PI_range,0.00033648485905659947
cat__Excipient_type_arginine,0.0003070300307054432
num__trehalose_low,0.00030625810255297285
cat__Stabilizer_type_sucrose,0.0003020421158062914
num__charge_x_ionic,0.0002925855521912152
num__Salt_conc,0.00029111097389322195
cat__Buffer_type_histidine,0.00028964274859066873
cat__Protein_class_type_polyclonal,0.0002766561111858601
cat__Salt_type_nacl,0.0002751746808489332
cat__Protein_type_adalimumab,0.0002703754233131339
cat__Protein_class_type_mab_igg1,0.0002580952394856629
num__Effective_Protein_Fraction,0.0002576167041808122
num__tween-20_high,0.0002531265155547146
num__Phi_Stabilizer,0.00025284354402553425
num__Stabilizer_conc,0.0002527200755248959
cat__Buffer_type_pbs,0.00023621073454588868
cat__Protein_class_type_bispecific,0.00022896610093077604
num__arginine_high,0.00022783988367946562
num__lysine_high,0.00022650466847170744
num__tween-80_high,0.00022630741218350328
cat__Salt_type_none,0.0002261205471109813
num__proline_low,0.0002206529912729808
cat__Protein_type_pembrolizumab,0.00021253811603555483
num__nacl_low,0.0002040929280701007
num__MW,0.00019210481111503648
num__prior_stabilizer,0.00019095037230180273
num__PI_mean,0.0001788122223441409
num__lysine_low,0.00016370042030870724
num__tween-20_low,0.00015831789211660872
cat__Protein_type_bevacizumab,0.00015799327992620368
num__kP,0.00015707705421014314
num__tween-80_low,0.00015670230742677836
cat__Protein_type_vudalimab,0.00014980487873998477
cat__Protein_type_etanercept,0.00014750606748752462
cat__Protein_type_bgg,0.0001347932835807186
num__proline_high,0.00012002578474952985
cat__Surfactant_type_tween-80,0.0001188356308390896
cat__Protein_type_belatacept,0.00011575565503729691
cat__Protein_type_trastuzumab,0.00011575565225967243
cat__Surfactant_type_unknown,0.00010305016835754008
num__nacl_high,9.806059532573496e-05
num__C_Class,9.610661213860098e-05
cat__Excipient_type_proline,9.536159342060082e-05
cat__Stabilizer_type_trehalose,9.365900010528672e-05
cat__Protein_class_type_fc-fusion,8.92426607079261e-05
num__HCI,8.923061860290548e-05
num__prior_tween-80,8.486663308260051e-05
cat__Surfactant_type_tween-20,7.929999198522976e-05
cat__Salt_type_unknown,7.765869364832669e-05
cat__Excipient_type_unknown,7.074606659588463e-05
cat__Protein_class_type_other,5.702991741652697e-05
cat__Protein_type_bsa,4.830162702541916e-05
cat__Protein_class_type_mab_igg4,4.233818973773404e-05
cat__Surfactant_type_none,3.5326897801825526e-05
cat__Stabilizer_type_unknown,3.405257045897359e-05
cat__Protein_type_nivolumab,2.7038523171077702e-05
num__stabilizer_low,0.0
num__stabilizer_high,0.0
cat__Stabilizer_type_none,-1.5853943764053587e-06
cat__Excipient_type_none,-2.880990242330175e-05
