Group,self_interaction,hydrophobicity,charge_environment,ionic_screening,crowding,nonlinear_conc,cosolute_interaction,cosolute_protection,interfacial_shielding,surface_stability,chemical_modulation,electrostatic_screening,latent_0,latent_1,latent_2,latent_3
adalimumab,-0.13367419,0.46570006,0.28826678,0.41978043,0.45247993,0.38888612,-0.13348863,0.51169324,0.49870738,0.45048022,-0.18020877,0.49552703,-0.042767104,0.036291778,-0.07896108,-0.04148696
belatacept,-0.1710681,0.45716304,0.5227816,0.45465916,0.4962162,0.43137875,-0.047787208,0.5621459,0.60240257,0.46180424,-0.080794685,0.4791022,0.012071466,0.04997249,-0.06568415,-0.03607482
bevacizumab,-0.13616413,0.48430538,-0.13766697,0.48461717,0.4491443,0.36587563,-0.26646018,0.46157438,0.4232958,0.47901216,-0.04811374,0.47506762,-0.06771468,-0.02395664,-0.018947963,0.037885357
bgg,-0.22746651,0.47928733,0.4193048,0.39490885,0.39768037,0.33327806,-0.1338719,0.43801633,0.48833126,0.47440434,-0.1307995,0.5579971,-0.029674921,0.010726763,-0.09948481,-0.08739921
bsa,0.29511398,0.5727584,-0.015773596,0.50563055,0.37788242,0.4450317,-0.05925899,0.4413154,0.41312337,0.5658148,0.09180713,0.50778866,-0.02630927,-0.0015950615,0.039734527,0.0006273303
etanercept,-0.60188216,0.3026072,0.45807964,0.61729527,0.45226616,0.47778717,0.40654388,0.59649646,0.63609457,0.32824063,0.21924475,0.3265055,0.08995488,0.039198376,-0.0931958,-0.0924198
nivolumab,0.246226,0.5298499,0.19752741,0.49495307,0.4251469,0.5299257,0.12519038,0.4737935,0.55209285,0.5262918,0.33484226,0.4513275,0.051933147,0.05992251,0.049632173,-0.014679089
none,0.3349107,0.5708817,-0.16666773,0.45984727,0.3967617,0.4162341,-0.36667198,0.4331293,0.38875097,0.55739814,-0.04497766,0.5379962,-0.0736238,-0.005303042,0.0429882,0.06172642
pembrolizumab,-0.55885315,0.40587306,0.28482646,0.53806776,0.48935166,0.3908995,0.06997466,0.5436335,0.53876805,0.38514522,-0.05862398,0.43940622,0.0064783976,-0.010599596,-0.09155053,-0.07112288
poly-higg,0.1104334,0.5316258,0.23635642,0.4313806,0.45808005,0.4569199,-0.09272154,0.4728717,0.5106649,0.51295984,-0.033792906,0.5348216,-0.045913167,0.035156094,-0.020193197,-0.0003644633
trastuzumab,0.20326546,0.5558402,-0.27587682,0.4349466,0.46032292,0.36651617,-0.2874431,0.45951152,0.44058156,0.5360771,-0.13648024,0.4747612,-0.07747679,-0.012527895,0.06434452,0.06787228
vudalimab,-0.020870324,0.6169858,-0.26218385,0.43405658,0.41138998,0.32657382,-0.53912055,0.37182137,0.33152944,0.521922,-0.18981865,0.47900563,-0.07509487,-0.049607065,0.0423401,0.078701876
