Feature_Group,Importance_dMSE
Protein_conc,0.03588750426557596
conc_x_HCI,0.032814551284547196
Protein_type,0.025880915828157457
Phi_Protein,0.023916328064913214
conc_x_kP,0.019030521232265778
log_conc,0.015681304253724392
conc_sq,0.013461085876873728
Buffer_conc,0.009704145382541392
Protein_class_type,0.00844910564211367
Temperature,0.008311634024305573
Exp_Crowding,0.008133789246821545
Stabilizer_type,0.008076123545455106
KD_Asymptote,0.006547475496699103
Buffer_type,0.005314554317766068
Buffer_pH,0.004252032183866778
Total_Solute_Mass,0.0037513252438813966
Excipient_type,0.0036048483641465184
Crowding_Index,0.0034892422403746187
Phi_Total,0.0034845566381691796
PI_range,0.002650905044638641
MW,0.0022149247587682436
PI_mean,0.0022114603196220686
trehalose_low,0.002192534970318024
prior_tween-80,0.002077901522022428
trehalose_high,0.0019945170180942565
Effective_Protein_Fraction,0.0019902449910946547
prior_stabilizer,0.0019177415144105148
kP,0.0018491971442868346
Salt_type,0.001630587502168196
prior_tween-20,0.001275174922020999
prior_lysine,0.0012445912002526415
Stabilizer_Squared,0.0012442177064816169
prior_nacl,0.0011745609756731046
lysine_low,0.0011734444529621288
arginine_low,0.0011188417696774517
Stabilizer_conc,0.0010325494642314421
HCI,0.000988481090628341
proline_low,0.0009558935579675222
Phi_Stabilizer,0.0009398673338796059
Excipient_conc,0.000863214643471201
prior_proline,0.0008234485460278636
prior_arginine,0.0007817643614928859
lysine_high,0.0007696350460318739
C_Class,0.0007091067230924151
tween-20_high,0.0006830099734172843
Surfactant_type,0.0006191367911663401
nacl_low,0.0005711135999202765
nacl_high,0.000551111774657137
Salt_conc,0.0005401428913352421
tween-80_high,0.00046486181692822256
proline_high,0.0004616370758051434
tween-80_low,0.00036704522662276296
arginine_high,0.00033655942517521725
Surfactant_conc,0.00029095480038878255
tween-20_low,0.00020760048012666635
stabilizer_low,0.0
stabilizer_high,0.0
